num,Playlist,Track Name,Artist Name,Duration (ms),Popularity,Instrumentalness,Endpoint
0,Are & Be,Gonna Love Me,Teyana Taylor,166,73,2.56E-05,../../are_and_be/GonnaLoveMe_TeyanaTaylor.mp3
1,Are & Be,Feels Like Summer,Childish Gambino,297,78,0.00482,../../are_and_be/FeelsLikeSummer_ChildishGambino.mp3
2,Are & Be,Call Out My Name,The Weeknd,228,84,0,../../are_and_be/CallOutMyName_TheWeeknd.mp3
3,Are & Be,Trip,Ella Mai,217,78,0,../../are_and_be/Trip_EllaMai.mp3
4,Are & Be,Love Lies (with Normani),Khalid,201,87,0,../../are_and_be/LoveLieswithNormani_Khalid.mp3
5,Are & Be,In My Feelings,Drake,217,83,0.0144,../../are_and_be/InMyFeelings_Drake.mp3
6,Are & Be,Know Myself,Justine Skye,167,70,0.000931,../../are_and_be/KnowMyself_JustineSkye.mp3
7,Are & Be,The Light,MihTy,179,73,8.15E-05,../../are_and_be/TheLight_MihTy.mp3
8,Are & Be,Could've Been (feat. Bryson Tiller),H.E.R.,248,75,7.00E-06,../../are_and_be/CouldveBeenfeatBrysonTiller_HER.mp3
9,Are & Be,CPR,Summer Walker,203,66,8.47E-05,../../are_and_be/CPR_SummerWalker.mp3
10,Are & Be,Wanna Be,The Internet,267,66,0.0374,../../are_and_be/WannaBe_TheInternet.mp3
11,Are & Be,Easy,Next Town Down,182,65,0,../../are_and_be/Easy_NextTownDown.mp3
12,Are & Be,Boo'd Up,Ella Mai,256,84,0,../../are_and_be/BoodUp_EllaMai.mp3
13,Are & Be,After Dark,Drake,289,69,0,../../are_and_be/AfterDark_Drake.mp3
14,Are & Be,Come Through and Chill,Miguel,322,61,0,../../are_and_be/ComeThroughandChill_Miguel.mp3
15,Are & Be,OTW,Khalid,263,86,3.26E-05,../../are_and_be/OTW_Khalid.mp3
16,Are & Be,SUMMER,The Carters,285,61,1.75E-05,../../are_and_be/SUMMER_TheCarters.mp3
17,Are & Be,Lady Lady,Masego,158,65,6.47E-06,../../are_and_be/LadyLady_Masego.mp3
18,Are & Be,All I Know,DaniLeigh,163,65,0,../../are_and_be/AllIKnow_DaniLeigh.mp3
19,Are & Be,Switch,6LACK,207,76,0.00801,../../are_and_be/Switch_6LACK.mp3
20,Are & Be,Pony - Recorded at Spotify Studios NYC,Leon Bridges,256,66,0.000192,../../are_and_be/PonyRecordedatSpotifyStudiosNYC_LeonBridges.mp3
21,Are & Be,I Like That,Janelle Mon??e,200,60,0.00243,../../are_and_be/ILikeThat_JanelleMone.mp3
22,Are & Be,Happy Without Me,Chloe x Halle,206,67,0,../../are_and_be/HappyWithoutMe_ChloexHalle.mp3
23,Are & Be,This Way,Khalid,211,38,0,../../are_and_be/ThisWay_Khalid.mp3
24,Are & Be,Blue Lights,Jorja Smith,250,71,0,../../are_and_be/BlueLights_JorjaSmith.mp3
25,Are & Be,Don?????t Matter To Me,Drake,245,80,0.0128,../../are_and_be/DontMatterToMe_Drake.mp3
26,Are & Be,Only Love,Mary J. Blige,226,60,0,../../are_and_be/OnlyLove_MaryJBlige.mp3
27,Are & Be,R.A.N.,Miguel,243,34,1.00E-05,../../are_and_be/RAN_Miguel.mp3
28,Are & Be,Property (feat. Keke Palmer),TK Kravitz,193,61,0,../../are_and_be/PropertyfeatKekePalmer_TKKravitz.mp3
29,Are & Be,SUMMERTIME,Ne-Yo,174,59,0.22,../../are_and_be/SUMMERTIME_NeYo.mp3
30,Are & Be,Hurt To Look (feat. Rae Sremmurd),Swae Lee,256,32,2.35E-05,../../are_and_be/HurtToLookfeatRaeSremmurd_SwaeLee.mp3
31,Are & Be,Medicine,Queen Naija,223,40,0,../../are_and_be/Medicine_QueenNaija.mp3
32,Are & Be,GOOD MAN,Ne-Yo,229,62,0,../../are_and_be/GOODMAN_NeYo.mp3
33,Are & Be,Best Part (feat. H.E.R.),Daniel Caesar,209,79,0,../../are_and_be/BestPartfeatHER_DanielCaesar.mp3
34,Are & Be,Sativa - Recorded at Spotify Studios NYC,Jhene Aiko,269,61,0,../../are_and_be/SativaRecordedatSpotifyStudiosNYC_JheneAiko.mp3
35,Are & Be,Doves In The Wind,SZA,266,69,0,../../are_and_be/DovesInTheWind_SZA.mp3
36,Are & Be,Make Luv,Brent Faiyaz,193,66,5.13E-05,../../are_and_be/MakeLuv_BrentFaiyaz.mp3
37,Are & Be,Sky Walker - Recorded at Spotify Studios NYC,Miguel,184,60,0.000537,../../are_and_be/SkyWalkerRecordedatSpotifyStudiosNYC_Miguel.mp3
38,Are & Be,Try Me,The Weeknd,221,75,0.00108,../../are_and_be/TryMe_TheWeeknd.mp3
39,Are & Be,How Deep Is Your Love - Live,PJ Morton,210,63,0,../../are_and_be/HowDeepIsYourLoveLive_PJMorton.mp3
40,Are & Be,Love Me Right,Amber Mark,291,33,2.69E-05,../../are_and_be/LoveMeRight_AmberMark.mp3
41,Are & Be,Ha Ha (I Love You),Jussie Smollett,204,56,0,../../are_and_be/HaHaILoveYou_JussieSmollett.mp3
42,Are & Be,Long As I Live,Toni Braxton,291,60,3.90E-05,../../are_and_be/LongAsILive_ToniBraxton.mp3
43,Are & Be,Favorite,Leon Thomas,213,58,5.08E-06,../../are_and_be/Favorite_LeonThomas.mp3
44,Are & Be,Addicted,VanJess,299,60,0,../../are_and_be/Addicted_VanJess.mp3
45,Are & Be,The Ways (with Swae Lee),Khalid,238,74,1.21E-06,../../are_and_be/TheWayswithSwaeLee_Khalid.mp3
46,Are & Be,One Night Only,Sonder,195,64,0.000876,../../are_and_be/OneNightOnly_Sonder.mp3
